"claims","total_cost","payout","cost_if_insured","cost_if_uninsured"
0,0,0,675,0
0,0,0,675,0
2,1109.21299401768,859.212994017679,925,1109.21299401768
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,633.189251880953,383.189251880953,925,633.189251880953
2,794.172909698103,544.172909698103,925,794.172909698103
1,1282.02127015137,1032.02127015137,925,1282.02127015137
0,0,0,675,0
1,458.498992875478,208.498992875478,925,458.498992875478
1,187.665197443809,0,862.665197443809,187.665197443809
1,557.974404321976,307.974404321976,925,557.974404321976
0,0,0,675,0
1,267.234299063485,17.2342990634854,925,267.234299063485
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,340.250775781539,90.2507757815386,925,340.250775781539
0,0,0,675,0
0,0,0,675,0
2,499.170887587502,249.170887587502,925,499.170887587502
1,238.14857435001,0,913.14857435001,238.14857435001
1,403.567114568479,153.567114568479,925,403.567114568479
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,236.423518813379,0,911.423518813379,236.423518813379
1,1708.42231786952,1458.42231786952,925,1708.42231786952
0,0,0,675,0
1,539.436276024838,289.436276024838,925,539.436276024838
0,0,0,675,0
1,156.674975439202,0,831.674975439202,156.674975439202
3,988.748752481429,738.748752481429,925,988.748752481429
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,762.212096766156,512.212096766156,925,762.212096766156
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,228.966006510746,0,903.966006510746,228.966006510746
2,460.258262143567,210.258262143567,925,460.258262143567
1,874.183736971289,624.183736971289,925,874.183736971289
1,249.782289657785,0,924.782289657785,249.782289657785
0,0,0,675,0
1,310.90571556164,60.9057155616404,925,310.90571556164
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,687.981683986747,437.981683986747,925,687.981683986747
1,355.384249737926,105.384249737926,925,355.384249737926
0,0,0,675,0
1,382.411978169059,132.411978169059,925,382.411978169059
0,0,0,675,0
1,269.695818485318,19.6958184853183,925,269.695818485318
0,0,0,675,0
0,0,0,675,0
2,1575.07013886022,1325.07013886022,925,1575.07013886022
0,0,0,675,0
1,613.833815359374,363.833815359374,925,613.833815359374
0,0,0,675,0
1,210.811440282352,0,885.811440282352,210.811440282352
0,0,0,675,0
1,195.419282592649,0,870.419282592649,195.419282592649
1,968.486759188702,718.486759188702,925,968.486759188702
2,783.545017868273,533.545017868273,925,783.545017868273
2,410.014527340866,160.014527340866,925,410.014527340866
0,0,0,675,0
2,789.011229663372,539.011229663372,925,789.011229663372
1,216.155323384034,0,891.155323384034,216.155323384034
1,403.727507372532,153.727507372532,925,403.727507372532
1,146.406151813959,0,821.406151813959,146.406151813959
0,0,0,675,0
1,472.631586065626,222.631586065626,925,472.631586065626
1,532.620983111385,282.620983111385,925,532.620983111385
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,630.700787984926,380.700787984926,925,630.700787984926
0,0,0,675,0
1,534.161154143568,284.161154143568,925,534.161154143568
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
3,1159.37091314241,909.370913142413,925,1159.37091314241
1,373.464870928635,123.464870928635,925,373.464870928635
0,0,0,675,0
1,1313.62674702159,1063.62674702159,925,1313.62674702159
0,0,0,675,0
0,0,0,675,0
1,459.506160030169,209.506160030169,925,459.506160030169
0,0,0,675,0
1,140.27654246438,0,815.27654246438,140.27654246438
1,265.063947087138,15.0639470871381,925,265.063947087138
1,913.604867143675,663.604867143675,925,913.604867143675
1,251.910272315509,1.91027231550882,925,251.910272315509
1,825.856313545499,575.856313545499,925,825.856313545499
2,757.7308611275,507.7308611275,925,757.7308611275
0,0,0,675,0
1,373.268047958586,123.268047958586,925,373.268047958586
1,268.145697928527,18.1456979285269,925,268.145697928527
3,694.502074481633,444.502074481633,925,694.502074481633
2,789.473759940137,539.473759940137,925,789.473759940137
0,0,0,675,0
0,0,0,675,0
1,335.733835450366,85.7338354503657,925,335.733835450366
1,844.056494772838,594.056494772838,925,844.056494772838
3,945.822613763767,695.822613763767,925,945.822613763767
0,0,0,675,0
3,1780.7597888964,1530.7597888964,925,1780.7597888964
0,0,0,675,0
0,0,0,675,0
1,188.225440574001,0,863.225440574001,188.225440574001
1,226.009586724631,0,901.00958672463,226.009586724631
1,185.544961820104,0,860.544961820105,185.544961820104
1,690.56441035581,440.56441035581,925,690.56441035581
3,2759.19559265901,2509.19559265901,925,2759.19559265901
1,553.994767115146,303.994767115146,925,553.994767115146
0,0,0,675,0
0,0,0,675,0
2,1455.25543639161,1205.25543639161,925,1455.25543639161
0,0,0,675,0
0,0,0,675,0
2,1252.16690082561,1002.16690082561,925,1252.16690082561
0,0,0,675,0
3,369.390612989472,119.390612989472,925,369.390612989472
0,0,0,675,0
1,303.085521182414,53.0855211824145,925,303.085521182414
1,660.822185662062,410.822185662062,925,660.822185662062
0,0,0,675,0
1,389.721242714839,139.721242714839,925,389.721242714839
0,0,0,675,0
1,123.497440692042,0,798.497440692042,123.497440692042
1,403.565956125007,153.565956125007,925,403.565956125007
1,596.248436752951,346.248436752951,925,596.248436752951
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,296.438782971389,46.4387829713887,925,296.438782971389
2,952.489310876726,702.489310876726,925,952.489310876726
2,519.920507518759,269.920507518759,925,519.920507518759
0,0,0,675,0
1,148.023605053192,0,823.023605053192,148.023605053192
0,0,0,675,0
1,364.471361841477,114.471361841477,925,364.471361841477
1,330.670077348539,80.6700773485393,925,330.670077348539
1,315.845917264661,65.8459172646607,925,315.845917264661
1,804.225736957005,554.225736957005,925,804.225736957005
1,1554.86724426974,1304.86724426974,925,1554.86724426974
1,331.366092718467,81.3660927184667,925,331.366092718467
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
1,414.358136906243,164.358136906243,925,414.358136906243
1,811.290039864367,561.290039864367,925,811.290039864367
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,410.40166716082,160.40166716082,925,410.40166716082
0,0,0,675,0
0,0,0,675,0
1,223.393884476476,0,898.393884476476,223.393884476476
0,0,0,675,0
1,225.376813651234,0,900.376813651234,225.376813651234
0,0,0,675,0
0,0,0,675,0
0,0,0,675,0
2,871.166081624973,621.166081624973,925,871.166081624973
1,132.792464812369,0,807.792464812369,132.792464812369
0,0,0,675,0
0,0,0,675,0
1,237.479647783919,0,912.479647783919,237.479647783919
0,0,0,675,0
1,1248.96001865902,998.960018659021,925,1248.96001865902
0,0,0,675,0
1,560.030157985504,310.030157985504,925,560.030157985504
1,117.082199179994,0,792.082199179994,117.082199179994
1,318.484167825874,68.4841678258745,925,318.484167825874
0,0,0,675,0
0,0,0,675,0
2,786.998423417779,536.998423417779,925,786.998423417779
1,300.831203048297,50.831203048297,925,300.831203048297
0,0,0,675,0
1,163.87176071931,0,838.87176071931,163.87176071931
0,0,0,675,0
1,440.463033179919,190.463033179919,925,440.463033179919
1,1164.14474720787,914.144747207873,925,1164.14474720787
1,397.836133429019,147.836133429019,925,397.836133429019
0,0,0,675,0
1,725.200641386996,475.200641386996,925,725.200641386996
0,0,0,675,0
1,405.050358688352,155.050358688352,925,405.050358688352
1,215.671464429236,0,890.671464429236,215.671464429236
0,0,0,675,0
0,0,0,675,0
2,256.678772713997,6.67877271399698,925,256.678772713997
0,0,0,675,0
1,587.803879225928,337.803879225928,925,587.803879225928
1,1424.6584491395,1174.6584491395,925,1424.6584491395
0,0,0,675,0
1,466.296703110369,216.296703110369,925,466.296703110369
0,0,0,675,0
0,0,0,675,0
1,650.392402579368,400.392402579368,925,650.392402579368
1,1457.67154996048,1207.67154996048,925,1457.67154996048
1,497.529931416602,247.529931416602,925,497.529931416602
2,1826.90006231674,1576.90006231674,925,1826.90006231674
0,0,0,675,0
1,114.262386340135,0,789.262386340135,114.262386340135
0,0,0,675,0
1,595.68240992705,345.68240992705,925,595.68240992705
1,242.163837906662,0,917.163837906662,242.163837906662
1,214.824346399,0,889.824346399,214.824346399
0,0,0,675,0
0,0,0,675,0
2,493.111846537493,243.111846537493,925,493.111846537493
